month,temperature_median,temperature_mad,temperature_p05,temperature_p95,pressure_median,pressure_mad,pressure_p05,pressure_p95,humidity_median,humidity_mad,humidity_p05,humidity_p95
1,-0.7,1.6,-4.8,2.7,969.0,4.4,958.1,978.2,56.0,10.0,38.0,80.0
2,-2.8,1.8,-7.2,1.2,966.8,4.15,943.535,977.2,49.0,8.0,36.0,91.65
3,-7.6,2.6,-13.6,-2.3,963.5,3.9,950.59,973.11,47.0,10.0,32.0,95.0
4,-10.5,3.2,-17.4,-4.9,966.2,5.8,954.64,982.68,41.0,7.0,30.0,92.0
5,-11.1,2.9,-19.1,-6.4,966.2,5.55,945.935,976.4,44.0,11.0,28.35,92.0
6,-14.6,3.3,-23.4,-7.0,965.0,6.5,947.48,983.02,41.0,7.0,27.0,88.0
7,-16.5,4.5,-25.6,-7.7,962.3,7.7,944.8,981.265,43.0,8.0,29.0,82.0
8,-13.7,3.7,-24.3,-6.0,962.9,6.9,949.315,984.585,42.0,8.0,31.0,75.0
9,-17.05,4.05,-26.805,-6.6,966.1,6.5,947.5,982.2,40.0,6.0,30.0,90.0
10,-8.3,2.5,-14.8,-3.135,966.4,7.0,946.905,979.4,50.0,12.0,33.0,90.0
11,-4.0,2.2,-9.4,1.305,972.1,4.65,957.7,985.505,49.0,11.0,32.0,94.0
12,0.5,1.7,-3.0,4.36,969.5,4.5,956.4,978.1,48.0,8.0,34.0,70.6
